sryza,watcher,https://github.com/apache/parquet-java/issues/1437,I_kwDOATt8NM6NJZEr,PARQUET-25
jwills,watcher,https://github.com/apache/parquet-java/issues/1437,I_kwDOATt8NM6NJZEr,PARQUET-25
tomwhite,watcher,https://github.com/apache/parquet-java/issues/1437,I_kwDOATt8NM6NJZEr,PARQUET-25
julienledem,watcher,https://github.com/apache/parquet-java/issues/1437,I_kwDOATt8NM6NJZEr,PARQUET-25
rdblue,watcher,https://github.com/apache/parquet-java/issues/1440,I_kwDOATt8NM6NJZE5,PARQUET-26
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1441,I_kwDOATt8NM6NJZE7,PARQUET-27
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1442,I_kwDOATt8NM6NJZE9,PARQUET-28
cristianopris ,watcher,https://github.com/apache/parquet-java/issues/1442,I_kwDOATt8NM6NJZE9,PARQUET-28
pitrou,watcher,https://github.com/apache/parquet-java/issues/1442,I_kwDOATt8NM6NJZE9,PARQUET-28
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1446,I_kwDOATt8NM6NJZFZ,PARQUET-29
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1447,I_kwDOATt8NM6NJZFa,PARQUET-30
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1390,I_kwDOATt8NM6NJZA3,PARQUET-31
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1450,I_kwDOATt8NM6NJZFp,PARQUET-32
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1391,I_kwDOATt8NM6NJZA6,PARQUET-33
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1391,I_kwDOATt8NM6NJZA6,PARQUET-33
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
phraktle,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
julienledem,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
danielcweeks,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
rdblue,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
danielcweeks,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
wangyum,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
clairemcginty,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1453,I_kwDOATt8NM6NJZF5,PARQUET-35
wangyum,watcher,https://github.com/apache/parquet-java/issues/1453,I_kwDOATt8NM6NJZF5,PARQUET-35
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1392,I_kwDOATt8NM6NJZA-,PARQUET-36
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1455,I_kwDOATt8NM6NJZGC,PARQUET-37
phraktle,watcher,https://github.com/apache/parquet-java/issues/1455,I_kwDOATt8NM6NJZGC,PARQUET-37
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1458,I_kwDOATt8NM6NJZGX,PARQUET-38
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1466,I_kwDOATt8NM6NJZHD,PARQUET-39
rdblue,watcher,https://github.com/apache/parquet-java/issues/1466,I_kwDOATt8NM6NJZHD,PARQUET-39
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1467,I_kwDOATt8NM6NJZHJ,PARQUET-40
sunchao,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
winningsix,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
julienledem,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
jacques-n,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
rdblue,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
danielcweeks,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
Antwnis,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
saucam,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
cristianopris ,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
jaltekruse,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
nezihyigitbasi,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
spena,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
wangyum,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
flykobe,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
danielcweeks,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
robert3005,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
costimuraru,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
sundapeng,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
jbapple,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
chenjunjiedada,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
beettlle,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
garawalid,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
gszadovszky,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
abhishekagarwal87,watcher,https://github.com/apache/parquet-java/issues/1469,I_kwDOATt8NM6NJZH0,PARQUET-42
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1469,I_kwDOATt8NM6NJZH0,PARQUET-42
liancheng,watcher,https://github.com/apache/parquet-java/issues/1469,I_kwDOATt8NM6NJZH0,PARQUET-42
wangyum,watcher,https://github.com/apache/parquet-java/issues/1469,I_kwDOATt8NM6NJZH0,PARQUET-42
isnotinvain,watcher,https://github.com/apache/parquet-format/issues/261,I_kwDOATt8M86NJGMM,PARQUET-43
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1472,I_kwDOATt8NM6NJZIB,PARQUET-44
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1393,I_kwDOATt8NM6NJZBG,PARQUET-45
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1474,I_kwDOATt8NM6NJZII,PARQUET-46
abhishekagarwal87,watcher,https://github.com/apache/parquet-java/issues/1476,I_kwDOATt8NM6NJZIS,PARQUET-47
SinghAsDev,watcher,https://github.com/apache/parquet-java/issues/1476,I_kwDOATt8NM6NJZIS,PARQUET-47
tsdeng,watcher,https://github.com/apache/parquet-java/issues/1478,I_kwDOATt8NM6NJZIX,PARQUET-48
julienledem,watcher,https://github.com/apache/parquet-java/issues/1478,I_kwDOATt8NM6NJZIX,PARQUET-48
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1483,I_kwDOATt8NM6NJZIq,PARQUET-49
julienledem,watcher,https://github.com/apache/parquet-java/issues/1483,I_kwDOATt8NM6NJZIq,PARQUET-49
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1487,I_kwDOATt8NM6NJZI-,PARQUET-50
julienledem,watcher,https://github.com/apache/parquet-java/issues/1487,I_kwDOATt8NM6NJZI-,PARQUET-50
julienledem,watcher,https://github.com/apache/parquet-java/issues/1489,I_kwDOATt8NM6NJZJL,PARQUET-51
julienledem,watcher,https://github.com/apache/parquet-java/issues/1395,I_kwDOATt8NM6NJZBO,PARQUET-52
tomwhite,watcher,https://github.com/apache/parquet-java/issues/1395,I_kwDOATt8NM6NJZBO,PARQUET-52
abhishekagarwal87,watcher,https://github.com/apache/parquet-java/issues/1490,I_kwDOATt8NM6NJZJN,PARQUET-53
rdblue,watcher,https://github.com/apache/parquet-java/issues/1490,I_kwDOATt8NM6NJZJN,PARQUET-53
abhishekagarwal87,watcher,https://github.com/apache/parquet-java/issues/1495,I_kwDOATt8NM6NJZJu,PARQUET-54
